Time(s),Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
0.000,115860,6.847417,6.569689,5.281609,0.026779,-0.217167,-0.030243
0.020,115880,7.149086,6.670246,5.094861,0.034374,-0.163208,-0.060620
0.040,115900,7.484274,6.435614,5.262455,0.037704,-0.102188,-0.100190
0.060,115920,7.407660,6.086061,5.463568,-0.028245,-0.047164,-0.109250
0.080,115940,7.364564,5.875371,5.669470,-0.120041,-0.050495,-0.073544
0.100,115960,6.847417,5.655105,5.731719,-0.191320,-0.011591,-0.020251
0.120,115980,6.100426,5.664681,5.932832,-0.235953,0.010525,0.023049
0.140,116000,6.143522,5.928043,6.368577,-0.238217,0.005063,-0.001066
0.160,116020,6.593631,5.947197,6.622362,-0.237951,0.040902,-0.018919
0.180,116040,6.818686,5.856217,6.722919,-0.253672,-0.000266,-0.005596
0.200,116060,6.766014,5.813122,6.809110,-0.269127,-0.037038,0.011458
0.220,116080,6.531382,5.817910,6.670246,-0.262466,-0.110848,0.022649
0.240,116100,6.411672,5.856217,6.526594,-0.235420,-0.159478,0.018652
0.260,116120,6.110003,5.722142,6.325481,-0.198115,-0.158012,0.008127
0.280,116140,5.913678,5.564125,6.133945,-0.172401,-0.131100,0.000666
0.300,116160,5.841852,5.487510,5.985504,-0.131899,-0.084069,0.005329
0.320,116180,5.971139,5.262455,5.841852,-0.080472,-0.023182,0.042501
0.340,116200,5.937620,5.085284,5.750873,-0.052760,0.043167,0.075942
0.360,116220,5.880159,5.075707,5.837064,-0.040103,0.089398,0.029844
0.380,116240,6.287174,5.262455,5.803545,-0.040502,0.077674,-0.065017
0.400,116260,6.378153,5.540183,5.784391,-0.082337,0.075942,-0.162276
0.420,116280,5.837064,5.726931,6.004658,-0.133764,0.111914,-0.236752
0.440,116300,5.473145,5.827487,5.990293,-0.183060,0.139227,-0.252606
0.460,116320,5.884948,5.798757,5.746084,-0.217567,0.129368,-0.213969
0.480,116340,6.129156,5.626374,5.549759,-0.220498,0.138694,-0.168538
0.500,116360,5.655105,5.554548,5.693412,-0.234087,0.171469,-0.151484
0.520,116380,5.070919,5.726931,5.846641,-0.245279,0.209306,-0.130700
0.540,116400,5.094861,5.851429,5.904101,-0.235420,0.272058,-0.109383
0.560,116420,5.032612,5.793968,6.052542,-0.227692,0.440462,-0.029311
0.580,116440,4.486734,5.655105,6.698977,-0.221963,0.582221,0.127502
0.600,116460,4.898537,5.597643,7.345411,-0.186790,0.567832,0.300836
0.620,116480,6.718130,5.750873,7.996634,-0.148686,0.491224,0.430603
0.640,116500,8.341399,5.937620,8.446744,-0.157879,0.480565,0.507878
0.660,116520,9.016563,5.664681,8.599973,-0.189322,0.446724,0.586084
0.680,116540,8.604761,5.291186,8.638280,-0.203044,0.321087,0.656697
0.700,116560,8.140285,4.999093,8.863335,-0.172801,0.169737,0.646305
0.720,116580,7.632715,4.639963,8.920795,-0.118176,0.106319,0.588349
0.740,116600,7.153875,4.141969,8.767567,-0.045032,0.026646,0.516138
0.760,116620,6.957550,3.758897,8.590396,-0.013590,-0.050095,0.434334
0.780,116640,6.646304,3.409343,8.398860,-0.012124,-0.104853,0.364254
0.800,116660,6.382942,3.236961,8.250419,-0.025980,-0.217966,0.299770
0.820,116680,6.406884,3.256114,8.049306,-0.041168,-0.343337,0.236752
0.840,116700,6.636727,3.289633,7.757214,-0.056090,-0.475103,0.162542
0.860,116720,6.847417,3.418920,7.560889,-0.072345,-0.557040,0.123372
0.880,116740,6.440403,3.529053,7.388506,-0.103654,-0.564900,0.101123
0.900,116760,6.718130,3.485958,7.139510,-0.069147,-0.623522,0.101922
0.920,116780,7.374141,3.567361,6.722919,-0.061953,-0.648037,0.147087
0.940,116800,7.436390,3.835511,6.330269,-0.068214,-0.652034,0.216368
0.960,116820,6.718130,3.998317,6.440403,-0.042368,-0.636979,0.227559
0.980,116840,6.033388,4.084508,6.449979,-0.006528,-0.509609,0.150152
1.000,116860,5.832275,3.907337,6.373365,0.044899,-0.335077,0.057689
1.020,116880,5.856217,3.639187,6.181829,0.074876,-0.168538,-0.020118
1.040,116900,6.100426,3.500323,6.119579,0.075675,-0.063018,-0.127502
1.060,116920,6.268020,3.409343,5.937620,0.063551,0.037971,-0.267395
1.080,116940,5.961562,3.356671,5.655105,0.024515,0.114979,-0.411018
1.100,116960,5.942409,3.423708,5.420473,0.015055,0.091263,-0.563835
1.120,116980,6.517017,3.629610,5.214571,0.024248,0.063018,-0.707191
1.140,117000,7.173028,3.921702,5.114015,0.016121,0.056623,-0.793259
1.160,117020,7.412448,4.165911,5.037400,-0.022116,0.096193,-0.838424
1.180,117040,7.402872,4.525041,4.955997,-0.066083,0.117776,-0.855211
1.200,117060,7.177817,4.960786,5.056554,-0.072744,0.178930,-0.844686
1.220,117080,6.809110,5.506664,5.339070,-0.034640,0.262332,-0.800054
1.240,117100,6.378153,6.354211,5.966351,0.037704,0.346135,-0.739966
1.260,117120,6.239290,7.019799,6.789956,0.140559,0.381175,-0.686940
1.280,117140,6.464345,7.292738,7.498640,0.212371,0.372515,-0.646704
1.300,117160,6.540959,7.407660,7.819463,0.173734,0.332012,-0.599407
1.320,117180,6.277597,7.647080,7.953538,0.077940,0.217167,-0.525730
1.340,117200,6.143522,8.039729,7.939173,0.019185,0.058622,-0.455118
1.360,117220,6.004658,8.259995,7.661446,-0.007727,-0.057556,-0.382374
1.380,117240,5.779603,8.317456,7.278373,-0.045432,-0.162542,-0.291110
1.400,117260,5.937620,8.379706,6.971915,-0.066216,-0.258735,-0.191453
1.420,117280,6.234501,8.183381,6.871359,-0.097259,-0.311495,-0.085401
