Time(s),Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
0.000,1279520,7.843405,5.252879,8.030152,-0.109649,0.191587,0.012391
0.020,1279540,7.848193,4.711789,8.006210,-0.149885,0.229824,0.199847
0.040,1279560,7.733272,4.687847,7.867347,-0.197049,0.198248,0.337874
0.060,1279580,8.269572,4.984728,7.977480,-0.208240,0.043833,0.343470
0.080,1279600,8.676587,4.874595,7.819463,-0.198381,-0.092995,0.245279
0.100,1279620,8.274361,4.754885,7.570466,-0.211172,-0.218632,0.137361
0.120,1279640,7.407660,4.625597,7.249643,-0.227825,-0.348133,0.031842
0.140,1279660,6.947973,4.678270,6.732495,-0.249009,-0.448856,-0.065816
0.160,1279680,6.473921,4.639963,6.445191,-0.275789,-0.493755,-0.130700
0.180,1279700,5.846641,4.654328,6.263232,-0.279919,-0.470440,-0.165074
0.200,1279720,5.137957,4.754885,6.335058,-0.255538,-0.340806,-0.199447
0.220,1279740,4.620809,4.865018,6.306327,-0.266862,-0.178130,-0.245412
0.240,1279760,4.951209,4.783615,6.291962,-0.279919,-0.092729,-0.278453
0.260,1279780,5.468357,4.836287,6.239290,-0.308164,-0.063551,-0.269926
0.280,1279800,5.468357,4.975151,6.449979,-0.310296,-0.039969,-0.269127
0.300,1279820,5.588067,5.027823,6.789956,-0.310429,-0.019452,-0.295107
0.320,1279840,5.832275,4.917690,7.149086,-0.282850,0.029977,-0.293109
0.340,1279860,6.105214,4.898537,7.450756,-0.277121,0.084735,-0.252873
0.360,1279880,6.459556,4.917690,7.378930,-0.326949,0.061286,-0.224894
0.380,1279900,6.804321,4.984728,7.029376,-0.340806,-0.020118,-0.217034
0.400,1279920,6.607996,5.003881,7.129933,-0.296839,-0.079406,-0.246345
0.420,1279940,6.177041,5.257667,7.350199,-0.259002,-0.071945,-0.307764
0.440,1279960,6.287174,5.607220,7.785944,-0.162942,-0.002931,-0.388369
0.460,1279980,6.775591,5.645528,7.441179,-0.082870,0.037038,-0.431269
0.480,1280000,6.880936,5.530606,7.139510,-0.053026,-0.009593,-0.383173
0.500,1280020,6.598420,5.353435,7.077260,-0.006795,-0.054225,-0.298438
0.520,1280040,6.110003,5.200206,7.292738,0.008127,-0.054891,-0.250475
0.540,1280060,6.200983,5.161899,7.125144,0.027845,-0.043833,-0.238750
0.560,1280080,6.540959,5.161899,6.876147,0.025047,-0.072611,-0.235420
0.580,1280100,6.359000,5.204995,6.823475,0.020384,-0.106452,-0.256070
0.600,1280120,5.755661,5.295974,6.828263,0.029044,-0.099790,-0.300969
