Time(s),Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
0.000,916580,-4.563348,7.115568,7.613562,0.419145,-0.127369,2.239351
0.020,916600,-5.755661,6.047753,7.388506,0.651900,0.336675,2.144357
0.040,916620,-5.343858,7.110779,6.732495,0.659628,0.984845,2.102389
0.060,916640,-4.716578,8.255207,6.967127,0.573427,1.609833,2.119976
0.080,916660,-4.074931,8.097190,7.316680,0.556240,2.054426,1.853646
0.100,916680,-2.777274,7.297527,6.986280,0.630717,2.202312,1.739600
0.120,916700,-2.020706,7.173028,6.789956,0.708524,2.185126,1.641809
0.140,916720,-0.775721,8.101978,7.096414,0.797789,2.002998,1.593979
0.160,916740,0.507571,9.169792,7.168240,0.597009,1.802086,1.715352
0.180,916760,-0.627281,8.413225,6.799533,0.618726,1.671119,1.981548
0.200,916780,-1.814805,6.335058,5.731719,0.417280,1.545216,1.615562
0.220,916800,-1.920150,6.086061,6.239290,0.369184,1.248910,1.291810
0.240,916820,-1.446098,6.919243,6.378153,0.246078,1.122873,0.927289
0.260,916840,-1.340753,7.062895,6.363788,0.044499,0.963395,0.690271
0.280,916860,-0.708684,7.484274,5.808333,-0.005329,0.788995,0.523732
0.300,916880,-0.612916,8.034941,5.516241,0.051560,0.638844,0.381441
0.320,916900,-0.560243,7.785944,5.717354,0.178530,0.491224,0.311894
0.340,916920,-0.928950,7.603985,6.368577,0.113646,0.424208,0.266862
0.360,916940,-1.048660,8.054094,5.540183,0.033574,0.425940,0.207708
0.380,916960,-0.972046,9.030929,5.085284,-0.003597,0.447524,0.200380
0.400,916980,-1.254562,9.064447,4.788404,0.062086,0.399960,0.241948
0.420,917000,-0.751779,7.963115,4.850653,0.177064,0.411418,0.362123
0.440,917020,-0.497994,8.236053,4.434062,0.150685,0.208240,0.470306
0.460,917040,-1.240196,8.164227,4.721366,0.158145,0.002132,0.322553
0.480,917060,-1.915361,7.958326,4.635174,0.052360,-0.095793,0.120175
0.500,917080,-1.455675,8.422802,4.381389,-0.054758,-0.097525,0.063152
0.520,917100,-1.316811,9.141062,4.683059,-0.097259,-0.047297,0.075276
0.540,917120,-1.216254,9.346964,4.481946,-0.062352,-0.011191,0.151217
0.560,917140,-1.613692,9.083601,4.611232,-0.022916,0.081005,0.206508
0.580,917160,-1.331176,8.604761,4.955997,0.006795,0.156147,0.209573
0.600,917180,-1.101333,8.355764,5.114015,-0.006662,0.144956,0.188122
0.620,917200,-0.727837,8.394072,5.109226,-0.041302,0.128968,0.190254
0.640,917220,-0.742203,8.264784,4.841076,-0.047430,0.054225,0.191054
0.660,917240,-1.259350,7.785944,4.520253,-0.005729,-0.036106,0.151750
0.680,917260,-1.316811,7.690176,4.472369,0.080738,-0.118709,0.047830
0.700,917280,-0.483629,8.307879,3.888184,0.282317,-0.252606,0.004263
0.720,917300,0.919373,10.563218,3.931279,0.343204,-0.628985,-0.013590
0.740,917320,1.192312,9.983821,4.592079,0.331213,-0.954335,0.320288
0.760,917340,-0.689530,8.657434,4.400543,0.332945,-0.749026,0.320821
0.780,917360,-0.703895,8.973468,4.362236,0.264064,-0.503348,0.265397
0.800,917380,-0.047884,9.485827,4.180276,0.234753,-0.292709,0.176132
0.820,917400,-0.234632,9.030929,4.529830,0.090064,0.161343,0.042368
0.840,917420,-1.920150,8.197746,3.792415,-0.091263,0.386903,-0.114845
0.860,917440,-0.311246,8.700529,3.394978,-0.238351,0.530926,-0.152017
0.880,917460,-0.713472,8.523358,3.227384,-0.322819,0.509343,-0.084335
0.900,917480,-0.727837,8.518570,3.007117,-0.260201,0.470706,-0.222496
0.920,917500,0.167594,9.643845,2.925714,-0.099124,0.357326,-0.291776
0.940,917520,0.588974,9.955091,3.500323,-0.120308,0.217300,-0.164141
0.960,917540,0.330400,9.945514,3.476381,-0.204243,0.128035,-0.042501
0.980,917560,0.148441,9.835381,3.576937,-0.241815,0.112047,-0.000666
1.000,917580,-0.263362,9.418790,3.859453,-0.243813,0.125104,0.026513
1.020,917600,-0.660800,9.208099,4.012682,-0.324418,0.174933,0.052493
1.040,917620,-0.675165,8.839393,3.672705,-0.311894,0.188789,0.089531
1.060,917640,-1.316811,8.259995,3.931279,-0.268328,0.224628,0.028511
1.080,917660,-0.948104,8.552089,3.955221,-0.263931,0.258335,-0.016121
1.100,917680,-0.833182,8.724471,4.295198,-0.309363,0.264464,0.016121
1.120,917700,-0.469264,8.949526,4.017470,-0.318822,0.213037,0.057289
1.140,917720,-0.694318,8.427590,4.592079,-0.316424,0.185458,0.051960
1.160,917740,-0.584185,8.494628,4.908113,-0.342271,0.106319,0.012257
1.180,917760,-0.679953,8.446744,5.195418,-0.365720,0.060487,-0.050361
1.200,917780,-0.679953,8.925584,5.166687,-0.396496,0.022383,-0.098058
1.220,917800,-0.751779,9.160215,5.152322,-0.337741,0.008127,-0.118709
1.240,917820,-0.526724,9.289502,5.176264,-0.239816,-0.005329,-0.113380
1.260,917840,-0.531513,8.944737,5.147533,-0.142957,-0.027579,-0.057556
1.280,917860,-0.507571,8.916007,5.027823,-0.089931,-0.036639,-0.003198
1.300,917880,-0.521936,8.729259,4.908113,-0.046231,-0.050628,0.040103
1.320,917900,-0.703895,8.274361,4.865018,-0.025980,-0.079672,0.028112
1.340,917920,-0.818817,8.058883,4.927267,-0.057822,-0.100323,-0.026113
1.360,917940,-0.718261,8.226477,4.860229,-0.104187,-0.124172,-0.047564
1.380,917960,-0.804452,8.475474,4.783615,-0.120574,-0.124704,-0.052493
1.400,917980,-0.943315,8.413225,4.754885,-0.110982,-0.102721,-0.045165
1.420,918000,-0.948104,8.580819,4.845864,-0.120308,-0.051294,-0.045832
1.440,918020,-0.828394,8.743625,5.056554,-0.126969,-0.022783,-0.041568
1.460,918040,-0.703895,9.030929,5.252879,-0.137361,-0.000666,-0.053692
1.480,918060,-0.775721,8.987833,5.295974,-0.115645,0.005462,-0.066749
1.500,918080,-0.775721,9.241618,5.267244,-0.081804,0.013456,-0.062485
