Time(s),Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
0.000,251420,-3.433285,0.536301,2.509123,-0.431403,-0.092862,-0.294708
0.020,251440,-2.734178,1.479617,1.671153,-0.435266,-0.006795,-0.088066
0.040,251460,-2.322376,1.206678,1.934515,-0.355594,0.091930,0.197049
0.060,251480,-6.076484,1.393425,4.917690,-0.371715,0.099790,0.282583
0.080,251500,-12.708423,5.343858,7.704541,-0.532525,-0.099390,0.099790
0.100,251520,-10.151415,5.114015,6.191406,-0.529461,-0.200513,0.240749
0.120,251540,-8.829816,1.833959,5.506664,-0.232755,-0.024515,0.440995
0.140,251560,-11.779472,3.533842,6.612785,-0.181861,0.157479,0.185191
0.160,251580,-12.191275,2.533065,8.470686,-0.265397,0.176665,0.090331
0.180,251600,-13.646950,2.370260,9.725247,-0.584485,-0.124838,-0.014123
0.200,251620,-14.867992,4.141969,9.184157,-0.814842,-0.122706,-0.136695
0.220,251640,-14.192827,5.252879,7.752425,-0.780602,0.119375,-0.131632
0.240,251660,-12.459426,4.529830,7.704541,-0.622456,0.268461,-0.088732
0.260,251680,-10.754754,3.442862,7.766790,-0.547714,0.191320,-0.081538
0.280,251700,-9.141062,3.045424,7.412448,-0.443394,0.115778,-0.043833
0.300,251720,-6.718130,2.628834,6.229713,-0.296173,-0.011858,0.041701
0.320,251740,-4.855441,1.594538,4.807557,-0.084069,-0.125637,0.146688
0.340,251760,-3.366248,0.440533,3.591303,0.010925,-0.148420,0.164274
0.360,251780,-2.145205,-0.205901,2.762909,0.033974,-0.138960,0.101789
0.380,251800,-1.790863,-0.746991,2.499547,0.022783,-0.105652,0.006528
0.400,251820,-2.499547,-0.287304,2.355895,-0.048230,-0.046098,-0.114845
0.420,251840,-2.068590,1.268927,1.891419,-0.104587,0.085002,-0.094727
0.440,251860,-0.857124,1.331176,1.690306,0.020251,0.132165,0.068214
0.460,251880,-0.426168,-0.062249,2.006341,0.147753,0.138161,0.201046
0.480,251900,-3.768473,-0.172383,4.639963,0.110315,0.196116,0.185458
0.500,251920,-12.617443,4.209007,8.858546,-0.044766,0.133897,-0.101655
0.520,251940,-13.172897,6.833052,9.457097,-0.203711,-0.153616,-0.355861
0.540,251960,-6.636727,3.361459,6.488286,0.111648,-0.148020,0.089665
0.560,251980,-11.401189,2.772485,7.876924,0.168937,-0.208107,0.282983
0.580,252000,-14.379576,2.274492,8.992621,0.022516,-0.153616,-0.254738
0.600,252020,-12.780249,2.614468,9.203311,0.017853,0.041568,-0.883856
0.620,252040,-12.339716,3.845088,9.203311,-0.078740,-0.098991,-0.820838
0.640,252060,-12.540829,4.453215,8.978256,-0.133498,-0.239683,-0.490424
0.660,252080,-11.745954,4.127604,7.867347,-0.064750,-0.218899,-0.281917
0.680,252100,-9.931149,2.863465,7.163452,0.128435,-0.034107,-0.215435
0.700,252120,-9.059659,2.384625,6.359000,0.180662,0.015855,-0.237418
0.720,252140,-8.379706,2.379837,5.621585,0.140959,0.055291,-0.171868
0.740,252160,-6.660669,1.991976,4.620809,0.079672,0.115112,-0.065150
