Time(s),Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
0.000,342900,8.930372,4.237737,3.773262,-0.105386,-0.000133,-0.023049
0.020,342920,8.892065,4.209007,3.835511,-0.108184,0.003730,-0.027845
0.040,342940,8.853758,4.204218,3.816358,-0.107651,0.000933,-0.030776
0.060,342960,8.877700,4.252102,3.782839,-0.107651,-0.000400,-0.031975
0.080,342980,8.877700,4.285621,3.758897,-0.100856,0.004663,-0.033574
0.100,343000,8.872911,4.261679,3.754108,-0.083403,0.002265,-0.030510
0.120,343020,8.906430,4.285621,3.763685,-0.071412,-0.002931,-0.027179
0.140,343040,8.930372,4.256891,3.730166,-0.050361,-0.003464,-0.015455
0.160,343060,8.973468,4.328717,3.720589,-0.034107,-0.021983,-0.005063
0.180,343080,8.978256,4.299986,3.758897,-0.011191,-0.020118,-0.003198
0.200,343100,8.868123,4.237737,3.778050,-0.002665,-0.016254,-0.004263
0.220,343120,8.772355,4.247314,3.787627,-0.011058,-0.009459,-0.005329
0.240,343140,8.848969,4.218584,3.768473,-0.009326,-0.005729,-0.002531
0.260,343160,8.963891,4.218584,3.677494,-0.010126,-0.013723,0.013456
0.280,343180,9.021352,4.204218,3.648763,-0.006928,-0.023182,0.030510
0.300,343200,8.968679,4.204218,3.677494,-0.003730,-0.036106,0.045299
0.320,343220,8.882488,4.204218,3.706224,-0.001865,-0.042767,0.054225
0.340,343240,8.810662,4.175488,3.720589,-0.009326,-0.038504,0.047564
0.360,343260,8.801085,4.175488,3.711013,-0.011724,-0.025047,0.038770
0.380,343280,8.868123,4.161122,3.696647,-0.020651,-0.019851,0.032375
0.400,343300,8.872911,4.161122,3.696647,-0.028911,-0.012124,0.033441
0.420,343320,8.872911,4.151546,3.663129,-0.035040,-0.001599,0.038637
0.440,343340,8.896853,4.189853,3.663129,-0.040769,0.012524,0.043167
0.460,343360,8.877700,4.185065,3.687071,-0.037038,0.019985,0.047963
0.480,343380,8.896853,4.189853,3.701436,-0.034107,0.030510,0.044100
0.500,343400,8.930372,4.170700,3.711013,-0.029711,0.030510,0.044366
0.520,343420,9.045294,4.127604,3.706224,-0.029178,0.020651,0.047697
0.540,343440,9.069236,4.103662,3.730166,-0.035440,0.001466,0.057556
0.560,343460,8.916007,4.079720,3.758897,-0.046498,-0.006928,0.058489
0.580,343480,8.925584,4.103662,3.739743,-0.055291,-0.023449,0.053825
0.600,343500,8.963891,4.074931,3.711013,-0.059554,-0.012657,0.045165
0.620,343520,8.973468,4.127604,3.682282,-0.065150,-0.006395,0.048096
0.640,343540,8.916007,4.151546,3.706224,-0.053959,0.000400,0.047430
0.660,343560,8.777143,4.084508,3.711013,-0.032109,0.004663,0.046897
0.680,343580,8.705317,4.079720,3.701436,-0.032375,0.020651,0.039436
0.700,343600,8.772355,4.041412,3.706224,-0.021450,0.038104,0.028245
0.720,343620,8.901642,3.983952,3.667917,-0.023182,0.052893,0.013856
0.740,343640,9.026140,3.993528,3.687071,-0.030776,0.051028,0.003331
0.760,343660,9.088389,3.993528,3.667917,-0.033974,0.048230,-0.006528
0.780,343680,9.050082,3.993528,3.667917,-0.038104,0.041168,-0.015988
0.800,343700,9.074024,4.003105,3.715801,-0.047164,0.035573,-0.026779
0.820,343720,9.083601,4.022259,3.667917,-0.048230,0.025181,-0.030643
0.840,343740,9.059659,4.036624,3.687071,-0.048363,0.015855,-0.029444
0.860,343760,9.050082,4.055778,3.677494,-0.043034,-0.000400,-0.023715
0.880,343780,8.997410,4.065354,3.639187,-0.035706,-0.003997,-0.021051
0.900,343800,8.987833,4.084508,3.605668,-0.023449,-0.007861,-0.019185
0.920,343820,8.997410,4.094085,3.610456,-0.012923,-0.014123,-0.017587
0.940,343840,8.954314,4.113238,3.624821,-0.017320,-0.016387,-0.017054
0.960,343860,8.997410,4.108450,3.634398,-0.027046,-0.015588,-0.020518
0.980,343880,8.925584,4.055778,3.610456,-0.037172,-0.010658,-0.023449
1.000,343900,8.896853,4.055778,3.634398,-0.051427,-0.001998,-0.027179
1.020,343920,8.892065,4.060566,3.620033,-0.059155,0.004263,-0.035040
1.040,343940,8.911219,4.041412,3.624821,-0.070746,0.017853,-0.047564
1.060,343960,8.935161,4.022259,3.643975,-0.083270,0.030776,-0.057156
1.080,343980,9.002198,4.060566,3.639187,-0.093795,0.040369,-0.058622
1.100,344000,9.016563,4.122815,3.634398,-0.102455,0.031443,-0.058222
1.120,344020,8.992621,4.094085,3.706224,-0.092329,0.024515,-0.068481
1.140,344040,8.834604,4.070143,3.768473,-0.100989,0.022916,-0.072078
1.160,344060,8.796297,4.141969,3.763685,-0.118043,0.020251,-0.087000
1.180,344080,8.887277,4.141969,3.768473,-0.122440,0.027979,-0.100590
1.200,344100,8.935161,4.161122,3.696647,-0.131100,0.022116,-0.095793
1.220,344120,8.968679,4.189853,3.706224,-0.133231,0.015188,-0.091397
1.240,344140,8.959103,4.228160,3.720589,-0.127902,0.005862,-0.085801
1.260,344160,8.906430,4.237737,3.720589,-0.121907,0.001599,-0.078606
1.280,344180,8.848969,4.256891,3.701436,-0.117776,0.003331,-0.074743
1.300,344200,8.877700,4.256891,3.715801,-0.113513,0.002798,-0.069413
1.320,344220,8.853758,4.256891,3.739743,-0.113646,0.009992,-0.061686
1.340,344240,8.848969,4.252102,3.768473,-0.115645,0.011191,-0.054625
1.360,344260,8.882488,4.271256,3.696647,-0.112847,0.011991,-0.053026
1.380,344280,8.892065,4.261679,3.715801,-0.109116,0.013856,-0.052493
1.400,344300,8.892065,4.280833,3.687071,-0.109783,0.005329,-0.051161
1.420,344320,8.877700,4.285621,3.734955,-0.107251,0.002265,-0.049828
1.440,344340,8.868123,4.290410,3.739743,-0.109383,0.003864,-0.044366
1.460,344360,8.892065,4.304775,3.773262,-0.108317,0.000933,-0.034640
1.480,344380,8.896853,4.319140,3.744531,-0.110049,-0.002132,-0.022783
1.500,344400,8.853758,4.309563,3.768473,-0.106452,-0.001066,-0.013190
