Time(s),Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
0.000,547240,6.746861,4.769250,6.789956,-0.061020,-0.012257,-0.014522
0.020,547260,6.675035,4.673482,6.770802,-0.057023,-0.001732,-0.026113
0.040,547280,6.684611,4.654328,6.775591,-0.062352,0.004930,-0.024115
0.060,547300,6.766014,4.687847,6.799533,-0.072345,0.010259,-0.025580
0.080,547320,6.742072,4.726154,6.737284,-0.067948,0.011458,-0.027979
0.100,547340,6.737284,4.745308,6.804321,-0.063152,0.014123,-0.027845
0.120,547360,6.766014,4.754885,6.789956,-0.061153,0.018519,-0.021583
0.140,547380,6.770802,4.716578,6.804321,-0.057956,0.019985,-0.010925
0.160,547400,6.766014,4.750096,6.794744,-0.060087,0.023449,-0.006129
0.180,547420,6.703765,4.745308,6.813898,-0.066749,0.027446,-0.009193
0.200,547440,6.761226,4.745308,6.809110,-0.074609,0.035040,-0.005995
0.220,547460,6.727707,4.759673,6.804321,-0.071945,0.034107,-0.001466
0.240,547480,6.746861,4.721366,6.837840,-0.068214,0.021051,-0.008793
0.260,547500,6.761226,4.697424,6.852205,-0.076208,0.014522,-0.012124
0.280,547520,6.727707,4.687847,6.861782,-0.085135,0.014389,-0.014922
0.300,547540,6.722919,4.711789,6.885724,-0.092462,0.009326,-0.021717
0.320,547560,6.742072,4.730943,6.847417,-0.098058,0.006262,-0.032109
0.340,547580,6.756437,4.730943,6.837840,-0.098724,-0.006262,-0.036106
0.360,547600,6.761226,4.740520,6.813898,-0.097792,-0.013057,-0.035173
0.380,547620,6.746861,4.754885,6.818686,-0.100456,-0.010525,-0.032375
0.400,547640,6.737284,4.774038,6.813898,-0.101655,-0.011724,-0.032375
0.420,547660,6.713342,4.764462,6.809110,-0.101522,-0.008793,-0.027979
0.440,547680,6.708553,4.750096,6.837840,-0.101789,-0.001998,-0.023049
0.460,547700,6.679823,4.754885,6.828263,-0.094061,-0.003198,-0.021850
0.480,547720,6.718130,4.759673,6.804321,-0.088599,-0.002398,-0.019985
0.500,547740,6.703765,4.759673,6.804321,-0.083802,0.000400,-0.015588
0.520,547760,6.675035,4.750096,6.856994,-0.080072,0.002398,-0.010792
0.540,547780,6.727707,4.764462,6.842628,-0.074077,0.000666,-0.009060
0.560,547800,6.670246,4.774038,6.871359,-0.071945,0.007861,-0.009726
0.580,547820,6.670246,4.759673,6.856994,-0.079006,0.013590,-0.011058
0.600,547840,6.823475,4.750096,6.828263,-0.083003,0.014389,-0.002265
0.620,547860,6.770802,4.802769,6.813898,-0.078873,0.007861,0.003864
0.640,547880,6.727707,4.793192,6.880936,-0.063551,-0.006262,-0.012657
0.660,547900,6.665458,4.692636,6.852205,-0.062485,0.001865,-0.015588
0.680,547920,6.684611,4.730943,6.895301,-0.071279,0.005196,-0.007594
0.700,547940,6.751649,4.750096,6.856994,-0.072611,0.007194,-0.000666
0.720,547960,6.732495,4.769250,6.833052,-0.070213,0.001332,0.007194
0.740,547980,6.775591,4.797980,6.809110,-0.071812,-0.002132,0.019718
0.760,548000,6.737284,4.707001,6.828263,-0.065417,-0.005596,0.039303
0.780,548020,6.694188,4.735731,6.775591,-0.051161,-0.013190,0.044100
0.800,548040,6.708553,4.759673,6.823475,-0.048230,-0.009593,0.036505
0.820,548060,6.761226,4.702212,6.809110,-0.043167,-0.010126,0.023315
0.840,548080,6.780379,4.678270,6.852205,-0.059288,-0.012923,0.024781
0.860,548100,6.727707,4.697424,6.837840,-0.066616,-0.022383,0.016787
0.880,548120,6.770802,4.726154,6.828263,-0.077541,-0.023715,-0.003730
0.900,548140,6.761226,4.683059,6.833052,-0.085002,-0.016521,-0.010925
0.920,548160,6.742072,4.721366,6.818686,-0.092862,-0.012124,-0.015588
0.940,548180,6.766014,4.707001,6.785168,-0.092995,-0.015055,-0.016654
0.960,548200,6.742072,4.730943,6.799533,-0.086600,-0.013323,-0.024381
0.980,548220,6.722919,4.726154,6.828263,-0.079273,-0.013590,-0.033974
1.000,548240,6.804321,4.730943,6.775591,-0.081138,-0.010126,-0.033175
1.020,548260,6.785168,4.735731,6.770802,-0.086334,-0.014922,-0.025181
1.040,548280,6.766014,4.730943,6.789956,-0.083536,-0.017054,-0.026913
1.060,548300,6.761226,4.740520,6.804321,-0.076874,-0.011458,-0.031309
1.080,548320,6.775591,4.726154,6.823475,-0.070346,-0.002531,-0.039170
1.100,548340,6.842628,4.754885,6.842628,-0.062219,0.006928,-0.051827
1.120,548360,6.895301,4.774038,6.794744,-0.062352,0.010525,-0.053692
1.140,548380,6.895301,4.711789,6.789956,-0.069413,0.003198,-0.035173
1.160,548400,6.799533,4.702212,6.770802,-0.081005,0.003730,-0.019319
1.180,548420,6.684611,4.673482,6.746861,-0.094328,0.001466,-0.021983
1.200,548440,6.722919,4.716578,6.775591,-0.095260,-0.003464,-0.039570
1.220,548460,6.708553,4.716578,6.766014,-0.097392,-0.010525,-0.054891
1.240,548480,6.823475,4.673482,6.746861,-0.105652,-0.011191,-0.053426
1.260,548500,6.871359,4.740520,6.694188,-0.115778,-0.015988,-0.038637
1.280,548520,6.876147,4.821922,6.775591,-0.113380,-0.030643,-0.043700
1.300,548540,6.813898,4.774038,6.756437,-0.110315,-0.044632,-0.052493
1.320,548560,6.718130,4.817134,6.770802,-0.112447,-0.035706,-0.041701
1.340,548580,6.718130,4.831499,6.780379,-0.110715,-0.026113,-0.031842
1.360,548600,6.718130,4.850653,6.718130,-0.105119,-0.018519,-0.034640
1.380,548620,6.708553,4.850653,6.737284,-0.097525,-0.004930,-0.028511
1.400,548640,6.703765,4.802769,6.737284,-0.087799,0.005063,-0.018253
1.420,548660,6.713342,4.821922,6.703765,-0.084069,0.019718,-0.006528
1.440,548680,6.718130,4.836287,6.746861,-0.073943,0.038237,-0.002132
1.460,548700,6.689400,4.831499,6.770802,-0.063551,0.049828,-0.011058
1.480,548720,6.785168,4.807557,6.794744,-0.055824,0.060620,-0.019718
1.500,548740,6.823475,4.802769,6.756437,-0.049962,0.067015,-0.010392
1.520,548760,6.809110,4.817134,6.780379,-0.043833,0.057689,-0.005196
1.540,548780,6.775591,4.750096,6.799533,-0.038504,0.037571,-0.006795
1.560,548800,6.775591,4.721366,6.823475,-0.041302,0.022516,-0.003331
1.580,548820,6.799533,4.697424,6.828263,-0.051960,0.011058,0.006129
1.600,548840,6.708553,4.716578,6.818686,-0.060620,0.001466,-0.000266
1.620,548860,6.631939,4.707001,6.756437,-0.064884,-0.000133,-0.017453
1.640,548880,6.651093,4.716578,6.756437,-0.072611,0.011325,-0.033175
1.660,548900,6.607996,4.726154,6.708553,-0.072345,0.027046,-0.055158
1.680,548920,6.588843,4.735731,6.679823,-0.078873,0.047830,-0.069946
1.700,548940,6.416461,4.726154,6.708553,-0.074343,0.083003,-0.099790
1.720,548960,6.564901,4.764462,6.737284,-0.068214,0.092063,-0.128968
1.740,548980,6.809110,4.807557,6.799533,-0.077274,0.087799,-0.126170
1.760,549000,6.828263,4.850653,6.895301,-0.103920,0.104587,-0.113380
1.780,549020,6.660669,4.812346,6.880936,-0.122972,0.099390,-0.112047
1.800,549040,6.703765,4.831499,6.971915,-0.140426,0.064084,-0.124838
1.820,549060,6.813898,4.860229,7.038953,-0.167472,0.050228,-0.128435
1.840,549080,6.904878,4.888960,6.971915,-0.183726,0.043567,-0.109383
1.860,549100,6.761226,4.893748,6.924031,-0.186124,0.046897,-0.095660
1.880,549120,6.603208,4.807557,6.885724,-0.176398,0.008127,-0.077807
1.900,549140,6.459556,4.788404,6.967127,-0.194518,0.003997,-0.088865
1.920,549160,6.397307,4.711789,6.933608,-0.201845,0.015588,-0.098858
