Time(s),Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
0.000,696760,2.671929,0.004788,9.789890,1.432447,0.127175,1.608044
0.020,696780,2.822764,0.026336,9.821015,1.327621,-0.111212,1.358483
0.040,696800,5.125986,0.287304,9.083601,0.832756,0.018092,1.141914
0.060,696820,5.892130,0.153229,8.829816,0.923215,0.022349,0.989729
0.080,696840,5.980716,0.304064,8.836999,0.797105,0.064386,0.978023
0.100,696860,6.016629,1.601721,10.261548,0.953014,-0.222423,0.887564
0.120,696880,15.981297,8.415619,13.113043,0.290001,-2.319479,0.086202
0.140,696900,28.613104,10.625467,8.248025,-0.904591,-0.644388,0.021285
0.160,696920,13.285425,7.103596,8.851364,1.900174,0.634810,1.450539
0.180,696940,10.254366,8.291121,18.816031,1.608044,-0.509764,1.624008
0.200,696960,21.715410,12.035652,18.025944,1.352098,-1.207896,0.758793
0.220,696980,18.622101,10.240001,15.162479,0.349066,0.478901,0.752407
0.240,697000,17.753006,9.181764,16.160862,-0.041505,0.374607,1.195657
0.260,697020,18.744205,10.726024,16.400282,0.135689,0.392167,1.030702
0.280,697040,18.978836,10.216059,13.773843,1.084978,-0.126643,0.713031
0.300,697060,17.707516,8.118738,12.354081,0.360772,0.515617,0.910445
0.320,697080,15.337256,6.009446,10.635044,0.676847,0.134092,1.131804
0.340,697100,12.150574,4.493917,9.794679,0.638003,0.079285,1.295162
0.360,697120,8.396465,3.691859,8.820239,0.448039,0.378332,1.323896
0.380,697140,4.886566,2.382231,7.955932,0.919491,0.080349,1.240355
0.400,697160,2.640805,1.544260,8.736442,0.517746,0.828499,1.186611
0.420,697180,2.231396,1.137246,8.662222,0.926408,0.285212,0.966849
0.440,697200,4.448427,1.592144,8.884883,1.064225,0.036716,0.841270
0.460,697220,6.562507,1.539472,8.564059,0.441121,0.707178,0.921087
0.480,697240,6.497863,1.345541,7.515399,0.468259,0.739104,1.094556
0.500,697260,4.292804,2.693477,8.159439,0.724737,0.444314,1.228648
0.520,697280,8.322245,8.501810,13.069947,0.663012,-0.632150,0.852444
0.540,697300,26.566063,13.510480,11.269507,0.642260,-0.642792,0.246900
0.560,697320,18.033127,8.501810,9.435549,1.005161,1.733623,1.205235
0.580,697340,10.809821,8.576031,12.751518,1.407970,-0.376736,1.609640
0.600,697360,18.476055,13.148955,15.492879,1.726173,-1.302612,1.257914
0.620,697380,20.910957,13.393165,12.959814,0.116533,1.197785,1.200978
0.640,697400,17.202339,11.477803,12.126632,0.767838,0.296387,0.972702
0.660,697420,16.342821,11.384429,13.790602,0.751343,-0.028202,0.636939
0.680,697440,15.614984,9.758766,12.411542,0.812536,-0.087266,0.530516
0.700,697460,14.755466,8.449138,10.807426,0.592241,-0.087799,0.768371
0.720,697480,12.320562,6.076484,9.928755,1.211088,-0.346405,1.185015
0.740,697500,9.682152,3.821146,8.990228,1.092427,0.232001,1.565475
0.760,697520,5.612009,1.862689,9.023746,0.844995,0.374607,1.674558
0.780,697540,3.476381,0.177171,8.731653,1.221198,-0.294258,1.542594
0.800,697560,2.602497,-0.339977,9.126697,0.899802,0.102698,1.291437
0.820,697580,3.282450,-0.083797,9.038112,0.809875,-0.207524,0.966849
0.840,697600,5.638345,0.292093,8.813056,0.661416,-0.244240,0.753471
0.860,697620,6.617573,0.567426,8.599973,0.766242,-0.253286,0.767838
0.880,697640,5.918467,1.142034,9.016563,0.783270,-0.345341,0.848720
0.900,697660,10.570400,6.818686,13.407530,0.244240,-1.834724,0.244240
0.920,697680,28.115110,11.848905,11.178528,-0.692278,-2.255093,-0.723141
0.940,697700,14.125790,7.125144,9.423578,0.971638,1.274410,0.681104
0.960,697720,9.785102,7.999028,15.703569,1.450007,-0.333102,1.423401
0.980,697740,22.452824,14.671668,17.688362,1.357951,-1.876761,0.799233
1.000,697760,20.037073,12.495338,16.558298,0.344809,0.328313,0.459745
1.020,697780,15.883134,9.188946,16.270994,0.683765,0.170276,0.983344
1.040,697800,16.567875,10.263943,17.159243,0.603948,0.070239,1.203107
1.060,697820,17.051504,10.474632,13.723564,0.842334,0.084074,0.961527
1.080,697840,15.607800,8.238448,11.753136,0.963656,0.196882,1.027509
1.100,697860,13.606248,5.643134,10.189722,1.388282,-0.060129,1.330814
1.120,697880,10.122684,3.936068,9.006987,0.681104,0.474112,1.595274
1.140,697900,6.811504,2.645593,8.856153,0.973234,0.150056,1.637843
1.160,697920,3.541024,2.059013,8.578424,0.960463,0.097909,1.542062
1.180,697940,3.126827,1.819593,8.695741,0.801362,-0.139946,1.291437
1.200,697960,3.926491,1.733402,8.283937,0.830096,-0.102698,1.065822
1.220,697980,5.346252,1.757344,8.169016,0.869472,-0.139413,1.051454
1.240,698000,5.940014,2.178724,8.188169,0.568296,0.203799,1.285052
1.260,698020,5.298368,3.260903,8.990228,0.324057,0.365029,1.536741
1.280,698040,8.394072,8.540117,12.842498,0.814664,-1.055711,1.204703
1.300,698060,24.258051,11.769896,11.616667,-0.998775,-1.677219,0.598627
1.320,698080,16.259024,8.609550,9.718064,0.721013,0.722609,1.498429
1.340,698100,10.005369,8.657434,11.829751,1.214281,-0.078221,1.783109
1.360,698120,18.820820,12.923901,14.666880,1.908688,-0.957803,1.322300
1.380,698140,23.350649,12.878411,10.383653,1.047730,-0.122386,1.150427
1.400,698160,17.872715,11.075577,9.739613,0.159102,0.305965,1.196721
1.420,698180,16.407465,11.121067,11.317391,0.956738,-0.472516,0.854041
1.440,698200,15.263036,9.145850,10.675745,0.748682,-0.050551,0.728994
1.460,698220,13.862428,7.795521,9.212888,0.751343,-0.252753,0.848720
1.480,698240,12.569559,6.150704,8.769960,1.112115,-0.295855,1.144042
1.500,698260,10.089166,3.708618,8.113950,1.124354,0.070771,1.447878
1.520,698280,6.663064,1.587356,8.604761,1.014739,0.186772,1.599530
1.540,698300,4.592079,0.062249,8.322245,1.530888,0.435800,1.609640
1.560,698320,3.136404,-0.603339,9.272743,1.048262,0.209652,1.386685
1.580,698340,4.225766,-0.090980,8.592790,0.761985,-0.120257,1.128079
1.600,698360,5.882554,0.387861,8.853758,0.844463,-0.209652,0.907252
1.620,698380,6.497863,0.737414,9.270349,0.596498,-0.032991,0.838077
1.640,698400,7.311892,3.351882,10.903194,0.463470,-0.333635,0.568828
1.660,698420,19.445705,10.539276,13.374011,-0.870536,-2.664820,-0.257542
1.680,698440,22.706610,10.067618,9.612720,0.562443,-0.297451,-0.093652
1.700,698460,9.208099,6.071695,11.604695,1.198850,0.197414,1.349970
1.720,698480,12.899959,7.852982,14.753071,1.225987,-1.031234,1.390942
1.740,698500,24.222139,13.259089,15.933413,0.706645,-0.981216,0.519874
1.760,698520,20.920534,10.338163,14.020445,0.275102,0.154845,0.472516
1.780,698540,20.594923,8.956709,13.335704,0.266588,-0.072899,1.170116
1.800,698560,18.997990,9.045294,13.464991,0.437929,0.065982,1.485126
1.820,698580,17.073051,8.705317,12.521675,0.710902,-0.097909,1.218006
1.840,698600,16.208746,6.945579,10.805033,1.019528,-0.171872,1.039748
1.860,698620,14.642938,5.509058,8.999804,0.581599,0.257542,1.166391
