Time(s),Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
0.000,945860,8.920795,5.961562,6.880936,-0.277121,-0.501083,0.214902
0.020,945880,8.815451,7.465121,9.351752,0.038104,-1.000966,0.103121
0.040,945900,10.639832,7.220912,11.401189,0.219165,-0.880392,-0.144423
0.060,945920,12.248735,8.121132,12.593501,-0.086600,-0.597809,-0.244879
0.080,945940,10.625467,8.714894,12.129025,-0.404490,-0.144156,-0.357326
0.100,945960,8.695741,7.987057,11.037270,-0.477767,0.114046,-0.514273
0.120,945980,8.757990,5.937620,9.136273,-0.456583,0.206242,-0.550245
0.140,946000,8.020576,4.817134,7.311892,-0.568498,0.243014,-0.346268
0.160,946020,6.445191,4.146757,5.937620,-0.539054,0.166273,-0.119375
0.180,946040,4.232949,3.648763,5.137957,-0.493622,0.293908,0.068214
0.200,946060,2.624045,3.270479,4.510676,-0.237152,0.214902,0.221164
0.220,946080,2.351106,2.691083,3.892972,-0.128302,0.273923,0.365720
0.240,946100,2.346318,2.044648,3.256114,0.053292,0.154681,0.474170
0.260,946120,2.734178,2.044648,3.112462,0.129634,-0.021717,0.533058
0.280,946140,2.911349,1.642422,2.810793,0.167472,-0.141225,0.631916
0.300,946160,2.681506,1.350330,2.379837,0.210639,-0.329481,0.844686
0.320,946180,2.269703,2.810793,3.567361,0.222096,-0.553842,1.022949
0.340,946200,7.709330,6.090849,6.924031,0.271126,-0.811911,0.862273
0.360,946220,9.816227,5.453991,5.832275,0.332678,-0.278453,0.705992
0.380,946240,9.294291,6.507440,7.474698,0.312161,-0.570096,0.856144
0.400,946260,12.287044,7.699753,8.954314,0.608734,-0.617660,0.627652
0.420,946280,16.261417,11.042058,10.927136,0.472171,-0.274856,0.412617
0.440,946300,16.079458,11.324574,11.506534,0.498551,0.114579,0.070879
0.460,946320,13.713987,10.524911,10.769119,0.414482,0.479899,-0.301236
0.480,946340,12.282255,8.552089,8.743625,0.336009,0.635913,-0.668554
0.500,946360,9.959879,5.975927,6.603208,0.249009,0.634980,-0.797922
0.520,946380,6.813898,3.500323,5.319916,0.125504,0.419279,-0.741432
0.540,946400,4.582502,2.451663,5.990293,-0.108983,0.079672,-0.568764
0.560,946420,2.834735,1.982399,3.634398,-0.510276,0.277121,-0.337874
0.580,946440,2.073379,1.656788,2.384625,-0.525064,0.054758,-0.079939
0.600,946460,2.355895,1.628057,1.853112,-0.637112,-0.068348,0.149352
0.620,946480,2.346318,1.508347,1.115698,-0.473504,-0.486960,0.255271
0.640,946500,1.723825,1.599327,2.044648,-0.358126,-0.745029,0.276721
0.660,946520,0.675165,1.470040,2.442086,-0.308164,-0.700263,0.220897
0.680,946540,0.062249,0.876278,2.614468,-0.212504,-0.737968,0.178930
0.700,946560,2.360683,2.336741,4.596867,-0.375046,-1.000700,0.080472
0.720,946580,11.573571,5.693412,8.690952,-0.584885,-1.512175,-0.417813
0.740,946600,13.407530,5.152322,6.971915,-0.671485,-0.733838,-0.349599
0.760,946620,10.687716,7.302315,9.141062,-0.682410,-0.664957,0.346135
0.780,946640,13.532028,10.060435,10.907983,-0.674949,-0.469107,-0.017320
0.800,946660,16.481684,10.496181,11.568783,-0.704926,-0.175998,-0.478567
0.820,946680,14.489709,8.274361,11.559206,-0.288579,0.399427,-0.339340
0.840,946700,12.990938,6.818686,10.788273,-0.326417,0.692403,-0.197315
0.860,946720,11.808203,5.477933,7.996634,-0.412884,0.822703,-0.176531
0.880,946740,9.897630,4.639963,6.081272,-0.450721,0.631783,-0.173600
0.900,946760,7.709330,3.873818,4.821922,-0.257270,0.249142,-0.191853
0.920,946780,5.463568,2.911349,4.237737,-0.372381,0.129101,-0.174133
0.940,946800,3.739743,1.556231,2.873042,-0.367851,-0.108983,-0.025181
0.960,946820,2.408567,1.010353,2.336741,-0.341072,-0.303101,0.244213
0.980,946840,1.455675,0.895431,2.126051,-0.211038,-0.430737,0.414349
1.000,946860,0.957681,0.876278,2.470816,-0.072611,-0.428605,0.464844
1.020,946880,0.799663,0.957681,2.533065,-0.166006,-0.313227,0.553443
1.040,946900,0.881066,1.345541,2.054225,-0.108184,-0.278453,0.684675
1.060,946920,1.177947,2.035071,2.695871,0.058489,-0.422610,0.805250
1.080,946940,7.048530,5.300763,6.502652,0.011858,-0.816441,0.692270
1.100,946960,16.706739,5.487510,5.238513,0.268461,-0.695201,0.385704
1.120,946980,11.137826,5.367800,5.300763,0.293775,-0.590081,0.931153
1.140,947000,11.918336,6.258443,8.657434,0.606602,-1.148853,0.625920
1.160,947020,18.540697,9.251195,10.984597,0.271658,-0.635646,0.226227
1.180,947040,18.325220,9.935937,9.911995,0.104187,0.180528,0.039037
1.200,947060,13.713987,9.423578,9.816227,0.211038,0.489758,-0.291243
1.220,947080,12.004527,7.876924,8.192958,0.265796,0.721181,-0.793259
1.240,947100,9.557653,5.377377,5.612009,0.318156,0.920228,-0.977917
1.260,947120,7.910442,3.217807,4.122815,0.332279,0.960730,-0.823902
1.280,947140,6.191406,1.771709,3.768473,0.371982,0.505879,-0.499484
1.300,947160,4.520253,1.096544,2.403779,-0.180395,0.525064,-0.146155
1.320,947180,3.241749,0.694318,1.417367,-0.222096,0.016521,0.111648
1.340,947200,3.260903,0.909797,1.221043,-0.303368,-0.328548,0.270193
1.360,947220,2.738967,0.952892,0.938527,-0.211438,-0.549579,0.314559
1.380,947240,2.188300,1.244985,1.623269,-0.107118,-0.767012,0.305899
1.400,947260,0.981623,0.737414,1.924938,-0.019052,-0.869334,0.192519
1.420,947280,0.780510,0.186748,2.418144,-0.067415,-0.861473,0.086467
1.440,947300,8.207323,3.347094,6.004658,-0.266329,-1.257303,-0.192119
1.460,947320,18.239029,4.141969,6.828263,-0.500150,-1.220798,-0.285648
1.480,947340,10.137050,4.683059,6.828263,-0.695334,-0.733438,0.300969
1.500,947360,15.102624,8.106767,8.647857,-0.657896,-1.051594,0.064750
1.520,947380,18.789696,9.825804,10.189722,-0.548113,-0.424475,-0.272858
1.540,947400,15.629349,8.781932,10.620679,-0.466443,0.318556,-0.362389
1.560,947420,12.569559,7.264008,10.122684,-0.545848,0.988443,-0.437398
1.580,947440,12.239159,6.138733,7.785944,-0.525864,1.248510,-0.600340
1.600,947460,10.635044,4.424485,6.095637,-0.443260,1.140459,-0.745829
1.620,947480,7.896077,3.078943,4.721366,-0.342538,0.786064,-0.696666
1.640,947500,5.291186,2.523489,3.945644,-0.500683,0.798322,-0.498951
1.660,947520,3.232172,1.771709,2.839523,-0.208640,0.337475,-0.251008
1.680,947540,2.346318,1.455675,1.958457,-0.229691,0.342671,0.068081
1.700,947560,1.168370,0.991199,1.848324,-0.075009,0.172534,0.292975
1.720,947580,1.599327,1.216254,2.331953,0.007861,0.022916,0.432202
1.740,947600,1.934515,1.010353,1.963245,0.116577,-0.089665,0.555041
1.760,947620,0.718261,0.818817,1.833959,0.187723,-0.102721,0.689072
1.780,947640,0.191536,1.316811,2.600103,0.257270,-0.230224,0.733571
1.800,947660,8.307879,5.645528,6.536170,0.229691,-0.773274,0.437665
1.820,947680,18.488026,4.395754,5.233725,0.435000,-0.496819,0.177331
1.840,947700,9.595961,4.228160,4.932055,0.212104,-0.329348,0.749825
1.860,947720,13.120225,6.885724,8.389283,0.308564,-0.984845,0.391966
