Time(s),Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
0.000,245940,9.409213,3.361459,4.079720,-0.219965,-0.194118,0.003198
0.020,245960,9.165004,3.615245,4.185065,-0.216900,-0.196516,-0.022250
0.040,245980,9.533711,3.835511,4.266468,-0.196649,-0.174266,-0.050361
0.060,246000,9.935937,3.701436,4.189853,-0.134564,-0.175466,-0.050228
0.080,246020,9.888053,3.524265,4.165911,-0.122972,-0.159211,-0.025181
0.100,246040,9.624691,3.399766,4.357447,-0.167871,-0.133231,0.010658
0.120,246060,9.471462,3.586514,4.529830,-0.185858,-0.105919,0.046498
0.140,246080,9.591172,3.658340,4.467580,-0.204643,-0.060221,0.047430
0.160,246100,10.007763,3.691859,4.515464,-0.193185,-0.063018,0.014789
0.180,246120,10.500969,3.897760,4.630386,-0.186257,-0.058888,-0.006928
0.200,246140,10.362105,4.084508,4.884171,-0.152417,-0.049162,-0.033308
0.220,246160,10.017340,4.070143,5.109226,-0.129101,-0.023182,-0.049296
0.240,246180,10.180145,4.098873,5.080496,-0.083536,-0.013057,-0.026913
0.260,246200,10.726024,4.113238,5.133168,-0.062485,0.024115,0.018253
0.280,246220,11.075577,4.209007,5.382165,-0.040369,0.041302,0.046098
0.300,246240,11.171345,4.223372,5.449203,-0.013323,0.039969,0.089531
0.320,246260,11.085154,4.189853,5.463568,0.023715,-0.001599,0.127236
0.340,246280,11.037270,4.041412,5.501875,0.060620,-0.047697,0.139093
0.360,246300,11.214440,3.936068,5.343858,0.102855,-0.069413,0.169603
0.380,246320,11.319786,3.787627,5.142745,0.140692,-0.084868,0.170669
0.400,246340,11.228806,3.476381,5.027823,0.155214,-0.119242,0.132299
0.420,246360,10.898406,3.327940,4.941632,0.118975,-0.143890,0.094861
0.440,246380,10.989386,3.371036,4.879383,0.079806,-0.193185,0.098591
0.460,246400,10.994174,3.160346,4.817134,0.033841,-0.210106,0.096593
0.480,246420,10.577583,3.064578,4.558560,-0.044100,-0.224361,0.070879
0.500,246440,10.438720,3.179500,4.223372,-0.093395,-0.247943,0.073011
0.520,246460,10.342952,3.165135,3.969586,-0.096193,-0.232622,0.071812
0.540,246480,10.290278,3.160346,3.701436,-0.120974,-0.168271,0.045965
0.560,246500,10.405201,3.078943,3.557784,-0.093928,-0.148286,-0.011724
0.580,246520,10.424355,3.074155,3.457227,-0.073943,-0.091397,-0.031975
0.600,246540,10.606314,2.959233,3.500323,-0.056357,-0.078207,-0.045832
0.620,246560,10.409989,2.964022,3.620033,-0.067948,-0.021450,-0.074077
