Time(s),Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
0.000,1190180,8.571242,3.936068,5.358223,-0.027579,-0.091397,0.076208
0.020,1190200,8.633492,3.797204,5.262455,-0.045165,-0.131766,0.094594
0.040,1190220,8.738836,3.749320,5.152322,-0.065683,-0.187190,0.124172
0.060,1190240,8.470686,3.816358,5.027823,-0.094194,-0.214103,0.149086
0.080,1190260,8.221688,3.945644,5.090073,-0.103387,-0.236352,0.122306
0.100,1190280,7.948750,4.027047,5.152322,-0.096326,-0.181194,0.063951
0.120,1190300,8.101978,4.103662,5.157111,-0.092196,-0.100323,0.030643
0.140,1190320,8.097190,4.094085,5.104438,-0.080738,-0.020518,0.022116
0.160,1190340,8.178593,4.122815,5.046977,-0.060221,0.021583,0.014256
0.180,1190360,8.389283,4.074931,5.032612,-0.027046,0.027979,0.019052
0.200,1190380,8.427590,4.094085,5.080496,-0.013057,0.038237,0.027712
0.220,1190400,8.350976,4.055778,5.176264,-0.005995,0.045165,0.038504
0.240,1190420,8.355764,4.113238,5.238513,-0.012124,0.033175,0.017986
0.260,1190440,8.494628,4.055778,5.181053,-0.023182,0.015988,0.006795
0.280,1190460,8.518570,4.027047,5.166687,-0.039969,0.002665,-0.007994
0.300,1190480,8.556877,3.969586,5.094861,-0.052360,-0.030776,-0.013989
0.320,1190500,8.585608,3.950433,5.066131,-0.072078,-0.057423,-0.008793
0.340,1190520,8.465898,3.931279,5.061342,-0.092063,-0.065816,-0.007861
0.360,1190540,8.489840,3.964798,4.984728,-0.113646,-0.068481,-0.015055
0.380,1190560,8.595184,3.964798,4.951209,-0.122040,-0.065550,-0.034374
0.400,1190580,8.652645,3.912126,4.932055,-0.141625,-0.064750,-0.035839
0.420,1190600,8.667010,3.883395,4.802769,-0.155481,-0.056490,-0.024115
0.440,1190620,8.566454,4.027047,4.879383,-0.156680,-0.052493,-0.033974
0.460,1190640,8.379706,4.050989,5.018247,-0.144822,-0.025980,-0.061553
0.480,1190660,8.269572,4.031836,4.932055,-0.159211,-0.009593,-0.098325
0.500,1190680,8.403648,3.950433,4.845864,-0.151217,0.008127,-0.127103
0.520,1190700,8.427590,3.825934,4.707001,-0.165606,0.026913,-0.131366
0.540,1190720,8.461109,3.763685,4.625597,-0.165740,0.030377,-0.130700
0.560,1190740,8.327033,3.825934,4.716578,-0.180129,0.055957,-0.153216
0.580,1190760,8.101978,3.734955,4.654328,-0.197049,0.096193,-0.190521
0.600,1190780,8.116343,3.801992,4.659117,-0.203311,0.140692,-0.223695
0.620,1190800,8.274361,3.988740,4.721366,-0.210772,0.160011,-0.252207
0.640,1190820,8.202535,3.988740,4.802769,-0.208773,0.161476,-0.265130
0.660,1190840,7.805098,4.151546,5.109226,-0.225028,0.178796,-0.257003
0.680,1190860,7.833828,4.185065,5.219360,-0.235286,0.189055,-0.264331
0.700,1190880,8.111555,4.113238,5.032612,-0.253139,0.171335,-0.256337
0.720,1190900,8.078036,4.098873,5.114015,-0.257003,0.137894,-0.203178
0.740,1190920,7.690176,4.127604,5.176264,-0.251807,0.130833,-0.163608
0.760,1190940,7.580042,4.156334,5.166687,-0.238750,0.115378,-0.154149
0.780,1190960,7.369353,4.060566,5.042189,-0.212104,0.113247,-0.145622
0.800,1190980,7.053318,3.897760,5.046977,-0.193052,0.104720,-0.143623
0.820,1191000,7.445967,3.950433,5.075707,-0.180528,0.071545,-0.135763
0.840,1191020,7.436390,4.055778,5.181053,-0.166006,0.090997,-0.112980
0.860,1191040,6.928820,3.912126,5.085284,-0.162142,0.118842,-0.105253
0.880,1191060,6.766014,3.811569,4.960786,-0.143623,0.106851,-0.113913
