Time(s),Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
0.000,596900,9.763555,5.844246,11.178528,0.948225,0.060129,0.992922
0.020,596920,9.828198,5.940014,11.326968,0.924812,0.050551,1.004629
0.040,596940,9.864111,5.944803,11.329363,0.900334,0.055872,0.973234
0.060,596960,9.907207,5.978322,11.334151,0.885435,0.025009,0.933326
0.080,596980,10.070012,6.066907,11.439496,0.893949,-0.018092,0.905656
0.100,597000,10.170568,6.033388,11.535264,0.896610,-0.040973,0.935986
0.120,597020,9.682152,5.992687,11.590330,0.858298,-0.028734,1.024849
0.140,597040,9.191340,6.265626,11.860875,0.877454,-0.117065,1.108391
0.160,597060,9.035717,6.833052,12.677298,0.899270,-0.037780,1.127015
0.180,597080,9.696517,7.266402,13.036428,0.877454,-0.027670,1.104134
0.200,597100,10.058042,7.201759,12.797009,0.837013,0.086202,1.132868
0.220,597120,10.778696,7.594408,12.955026,0.827435,0.055340,1.165859
0.240,597140,11.235989,7.711724,12.773067,0.812004,-0.030863,1.230776
0.260,597160,10.661380,7.783550,12.737153,0.827435,-0.120790,1.329217
0.280,597180,11.176133,8.968679,13.400347,0.906720,-0.284680,1.339327
0.300,597200,11.379641,8.698134,13.273455,0.857765,-0.141010,1.390942
0.320,597220,10.568007,9.071630,12.998121,0.840738,-0.058532,1.432979
0.340,597240,11.171345,9.018958,13.158532,0.839142,-0.106423,1.342520
0.360,597260,10.108319,8.415619,12.191275,0.726866,-0.026606,1.264832
0.380,597280,9.574412,7.936779,11.793838,0.760921,-0.135157,1.174373
0.400,597300,9.785102,7.747637,11.451467,0.797105,-0.178258,1.122758
0.420,597320,10.436325,7.934384,10.936713,0.761985,-0.153248,1.117969
0.440,597340,10.409989,8.178593,10.826580,0.722077,-0.091523,1.138721
0.460,597360,9.646238,7.977480,11.066000,0.733783,-0.026606,1.130207
0.480,597380,9.313444,7.680599,11.245565,0.676847,0.041505,1.071675
0.500,597400,9.399636,7.405266,11.417948,0.614590,0.145267,1.000904
0.520,597420,9.586384,6.976704,11.360487,0.578938,0.238386,0.987601
0.540,597440,9.414001,6.572083,11.231200,0.536902,0.312350,1.052519
0.560,597460,9.220071,6.363788,11.235989,0.570957,0.306497,1.113712
0.580,597480,9.327810,6.133945,11.307815,0.590113,0.329910,1.137657
0.600,597500,9.459491,5.884948,11.288661,0.604480,0.324589,1.142446
0.620,597520,9.753978,5.808333,11.329363,0.631618,0.263928,1.122225
0.640,597540,10.012551,5.640739,11.312603,0.637471,0.221891,1.098812
0.660,597560,9.993398,5.501875,11.224017,0.648113,0.166551,1.090299
0.680,597580,10.005369,5.691018,11.403583,0.663544,0.088331,1.105730
0.700,597600,9.821015,5.880159,11.599907,0.667269,0.060129,1.134464
0.720,597620,9.574412,6.074090,11.640609,0.690682,0.027138,1.162134
0.740,597640,9.921572,6.478710,11.877635,0.717288,-0.023413,1.158409
0.760,597660,10.398018,6.749255,11.894394,0.752939,-0.069175,1.138721
0.780,597680,10.905589,7.036559,11.894394,0.802426,-0.152716,1.118501
0.800,597700,11.070788,7.003040,11.894394,0.831692,-0.210184,1.130739
0.820,597720,11.307815,7.343017,12.081141,0.906720,-0.317671,1.126482
0.840,597740,11.733982,7.405266,12.186486,0.898206,-0.298515,1.142978
0.860,597760,10.886436,7.005434,11.927913,0.873729,-0.281488,1.235033
0.880,597780,10.647015,7.122750,12.385205,0.912573,-0.402277,1.247804
0.900,597800,10.884041,7.699753,12.847286,0.908316,-0.498589,1.170116
0.920,597820,12.172121,8.652645,13.357251,0.923215,-0.643856,1.008885
0.940,597840,11.796232,8.274361,13.450625,0.849784,-0.548608,0.990261
0.960,597860,11.066000,9.033323,13.833697,0.872665,-0.636407,1.024849
0.980,597880,11.681310,8.935161,14.599842,0.861490,-0.531048,1.005161
1.000,597900,10.912771,7.580042,13.419500,0.766242,-0.264992,1.084978
1.020,597920,10.163386,6.246472,12.866440,0.816793,-0.259671,1.216409
1.040,597940,9.871294,5.935226,12.892776,0.874261,-0.299047,1.272813
1.060,597960,10.929531,6.306327,13.206416,0.885967,-0.258075,1.172244
1.080,597980,11.118672,6.325481,13.019669,0.823710,-0.079285,1.111051
1.100,598000,10.216059,6.303933,12.775460,0.775820,0.058532,1.067950
1.120,598020,10.141838,6.684611,12.998121,0.775820,0.132496,0.931197
1.140,598040,10.398018,6.924031,12.823344,0.760389,0.235726,0.780077
1.160,598060,10.589554,6.593631,12.334928,0.788059,0.270313,0.722077
1.180,598080,10.692505,6.160281,11.789049,0.838609,0.197414,0.759857
1.200,598100,10.840945,5.966351,11.552023,0.817325,0.159102,0.841802
1.220,598120,10.429143,5.650316,11.077971,0.804022,0.125579,0.920555
1.240,598140,9.840169,5.434838,10.958261,0.915234,-0.060661,0.971105
1.260,598160,9.536105,5.425261,10.867282,0.918958,-0.057468,0.957803
1.280,598180,9.655815,5.372589,10.737994,0.904591,0.009046,0.922151
1.300,598200,9.674969,5.248090,10.611102,0.895013,0.072367,0.908848
1.320,598220,9.885659,5.284003,10.673351,0.917894,0.055340,0.902995
1.340,598240,10.335769,5.365406,10.869676,0.907784,0.058532,0.920023
1.360,598260,10.395624,5.432444,11.089942,0.898738,0.058000,0.957271
1.380,598280,10.457873,5.815516,11.528081,0.893949,0.019688,0.980151
1.400,598300,10.852917,6.421249,12.004527,0.893949,-0.025009,0.974298
1.420,598320,11.068395,6.957550,12.368446,0.865215,-0.021817,0.971105
1.440,598340,11.377247,7.275979,12.758701,0.836481,-0.014367,0.993454
1.460,598360,11.779472,7.441179,12.811374,0.833820,-0.054275,1.046665
1.480,598380,12.186486,7.381324,12.512098,0.796040,-0.055872,1.129675
1.500,598400,11.659762,7.050924,12.117055,0.810407,-0.130368,1.233969
1.520,598420,10.951078,6.854599,12.224793,0.854041,-0.227212,1.308465
1.540,598440,10.467450,7.335834,12.497733,0.890224,-0.268717,1.332410
1.560,598460,11.915942,8.700529,13.227964,0.959399,-0.298515,1.228648
1.580,598480,11.384429,8.113950,12.591106,0.822114,0.016495,1.233969
1.600,598500,11.444284,8.892065,12.701240,0.889692,-0.088863,1.174373
1.620,598520,12.107478,8.719683,13.000515,0.813068,-0.015963,1.087638
1.640,598540,10.785878,7.979874,11.987768,0.697600,0.088863,1.068482
1.660,598560,10.230424,7.433996,11.607090,0.717820,-0.001064,1.025913
1.680,598580,9.430760,6.986280,11.030087,0.650242,0.086202,1.006225
1.700,598600,10.077195,7.515399,11.039664,0.717820,0.031927,0.967913
1.720,598620,11.358093,8.226477,11.063606,0.752407,0.073964,0.969509
1.740,598640,10.211270,7.860164,11.003751,0.735380,0.221891,1.000372
1.760,598660,8.985439,7.654263,11.559206,0.784866,0.201671,0.959931
1.780,598680,9.097966,7.639898,12.236765,0.760389,0.238919,0.854573
1.800,598700,9.677363,7.285556,12.133814,0.713563,0.286277,0.796040
1.820,598720,10.177752,6.871359,11.846510,0.678976,0.277231,0.839142
1.840,598740,10.247183,6.576872,11.702858,0.665141,0.196350,0.943968
1.860,598760,9.933543,6.268020,11.578360,0.614590,0.142074,1.030170
1.880,598780,9.291897,5.987898,11.394006,0.579471,0.154313,1.097216
1.900,598800,9.153033,5.947197,11.310209,0.585324,0.168680,1.124354
1.920,598820,9.464279,5.916072,11.185710,0.585324,0.234130,1.134464
1.940,598840,9.543288,5.798757,11.077971,0.584792,0.295855,1.141381
1.960,598860,9.617508,5.779603,11.137826,0.610865,0.288937,1.123822
1.980,598880,9.844957,5.736507,11.180922,0.624168,0.260735,1.090299
2.000,598900,9.653421,5.688623,11.159374,0.636939,0.202735,1.058904
2.020,598920,9.859323,6.126762,11.322180,0.671526,0.051615,0.983876
2.040,598940,10.084377,6.636727,11.398794,0.668866,-0.037780,0.898206
2.060,598960,10.462662,7.225701,11.643003,0.700792,-0.125579,0.820518
2.080,598980,10.579977,7.374141,11.832145,0.690150,-0.106423,0.813600
2.100,599000,10.821792,7.860164,11.935096,0.710370,-0.179322,0.839142
2.120,599020,11.659762,7.967903,11.935096,0.686957,-0.197414,0.880646
2.140,599040,10.548853,7.299921,11.477803,0.622572,-0.191028,1.030702
2.160,599060,9.835381,7.335834,11.896789,0.712499,-0.389506,1.113180
2.180,599080,10.639832,8.269572,12.737153,0.775288,-0.499122,1.078592
2.200,599100,11.616667,8.571242,13.055582,0.794976,-0.448571,1.028041
2.220,599120,10.946290,8.621520,13.108254,0.807215,-0.398020,1.055711
2.240,599140,11.626244,9.136273,14.077906,0.848187,-0.395892,0.992390
2.260,599160,11.008539,8.559271,13.903130,0.714627,-0.118661,1.017399
2.280,599180,11.099519,8.226477,13.929465,0.797637,-0.126643,1.092959
2.300,599200,11.640609,7.173028,13.814544,0.834352,-0.073964,1.216409
2.320,599220,11.003751,6.148310,13.261483,0.864683,-0.097377,1.339327
2.340,599240,11.449073,6.081272,13.407530,0.934922,-0.258075,1.333474
2.360,599260,10.910378,5.700594,13.321339,0.822114,-0.137285,1.276538
2.380,599280,9.483433,5.391742,13.046005,0.767838,-0.032991,1.201510
2.400,599300,9.220071,5.530606,13.019669,0.748682,0.044165,1.064225
2.420,599320,9.720459,5.956774,12.258312,0.722077,0.148459,0.917362
2.440,599340,10.809821,6.373365,11.532869,0.809343,0.081945,0.774756
2.460,599360,11.042058,6.284780,11.197681,0.852976,0.033523,0.702389
2.480,599380,10.441113,5.863400,11.456255,0.913637,-0.090991,0.693875
2.500,599400,10.168175,5.681441,11.643003,0.841270,-0.123450,0.701324
2.520,599420,10.251971,5.793968,11.532869,0.890224,-0.233065,0.718352
2.540,599440,10.263943,5.923255,11.520899,0.826371,-0.130900,0.779545
2.560,599460,10.036493,5.935226,11.575965,0.806683,-0.051615,0.862555
2.580,599480,9.902418,5.942409,11.638214,0.809875,0.020752,0.939179
2.600,599500,10.220847,5.983110,11.631032,0.830628,0.047358,0.975894
2.620,599520,10.534488,5.916072,11.563994,0.847655,0.043101,1.004629
2.640,599540,10.323798,5.793968,11.528081,0.915234,-0.031395,1.044005
2.660,599560,10.070012,5.889736,11.923124,0.966849,-0.096312,1.071675
2.680,599580,10.417171,6.313510,12.354081,1.028041,-0.144203,1.087106
2.700,599600,10.867282,6.483498,12.430696,1.008885,-0.110679,1.127015
2.720,599620,11.190498,6.708553,12.459426,0.973234,-0.068110,1.179694
2.740,599640,11.978191,6.890512,12.430696,1.009950,-0.148992,1.213749
2.760,599660,12.088325,6.756437,12.023681,0.979619,-0.142074,1.307401
2.780,599680,11.405977,6.500257,11.781867,1.030170,-0.213377,1.426594
2.800,599700,11.025299,6.744466,11.971008,1.079656,-0.275634,1.501090
2.820,599720,11.520899,7.884106,12.488156,1.113712,-0.302240,1.471823
2.840,599740,12.758701,8.109161,12.260707,1.089234,-0.217634,1.412227
2.860,599760,12.097901,8.353370,11.834539,1.033895,-0.146863,1.434575
2.880,599780,13.407530,8.889671,12.394782,1.064225,-0.280423,1.330281
2.900,599800,12.246342,8.267179,11.365275,0.873197,-0.135689,1.283988
2.920,599820,10.941502,7.728483,11.013328,0.823178,-0.161230,1.249400
2.940,599840,9.749189,7.374141,10.963050,0.782206,-0.111212,1.219602
2.960,599860,9.102755,7.364564,10.608707,0.746554,-0.012239,1.177033
2.980,599880,9.904813,8.001422,10.498574,0.764646,0.106423,1.080189
3.000,599900,10.117896,7.963115,10.548853,0.759857,0.313414,0.984940
3.020,599920,9.617508,7.572860,10.635044,0.755600,0.464534,0.902995
3.040,599940,10.024523,7.479486,11.109096,0.738572,0.539030,0.819453
3.060,599960,10.591949,7.149086,11.159374,0.663544,0.640664,0.820518
3.080,599980,10.766725,6.787562,11.125855,0.570957,0.729526,0.932793
3.100,600000,10.541670,6.461950,11.123461,0.660884,0.578406,1.058372
