Time(s),Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
0.000,648820,7.785944,5.214571,7.891289,0.291910,0.174266,0.139626
0.020,648840,8.920795,5.276821,7.891289,0.306299,0.154948,0.119775
0.040,648860,7.680599,4.860229,7.053318,0.270193,0.223962,0.188522
0.060,648880,7.532158,5.166687,7.206547,0.268594,0.075809,0.216501
0.080,648900,7.618350,5.066131,6.947973,0.277920,0.065283,0.196250
0.100,648920,7.493851,5.147533,6.828263,0.259002,0.044499,0.188655
0.120,648940,7.048530,5.181053,6.675035,0.237152,0.029044,0.168138
0.140,648960,6.789956,5.152322,6.397307,0.217833,0.005329,0.118975
0.160,648980,6.631939,4.989516,6.062119,0.187590,-0.012391,0.081271
0.180,649000,6.584054,4.754885,5.698200,0.154015,-0.056623,0.083403
0.200,649020,6.517017,4.572925,5.415684,0.109916,-0.086067,0.141625
0.220,649040,6.315904,4.644751,5.262455,0.073544,-0.081937,0.217433
0.240,649060,6.186617,5.051765,5.386954,0.066482,-0.021184,0.236086
0.260,649080,6.086061,5.468357,5.559336,0.092462,0.100456,0.189721
0.280,649100,6.143522,5.813122,5.755661,0.127369,0.236885,0.096726
0.300,649120,6.368577,6.038177,5.937620,0.172401,0.364387,-0.018119
0.320,649140,6.540959,6.138733,6.172252,0.203844,0.477368,-0.115112
0.340,649160,6.344635,6.186617,6.512228,0.217833,0.591280,-0.180395
0.360,649180,6.311116,6.105214,6.780379,0.209839,0.675216,-0.234487
0.380,649200,6.488286,5.693412,6.675035,0.180262,0.717184,-0.233155
0.400,649220,6.775591,5.295974,6.493075,0.116044,0.669087,-0.133764
0.420,649240,6.737284,5.204995,6.478710,0.039303,0.563302,0.006928
0.440,649260,6.430826,5.209783,6.540959,-0.021850,0.468175,0.107651
0.460,649280,6.268020,5.343858,6.540959,-0.046498,0.388236,0.152283
0.480,649300,6.153099,5.458780,6.517017,-0.043966,0.326816,0.132698
0.500,649320,6.244078,5.645528,6.526594,-0.015322,0.241548,0.061420
0.520,649340,6.368577,5.540183,6.636727,0.011591,0.177597,-0.011724
0.540,649360,6.598420,5.449203,6.593631,-0.006262,0.133098,-0.034507
0.560,649380,6.756437,5.468357,6.469133,-0.027845,0.081671,-0.041035
