Time(s),Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
0.000,47420,4.994305,4.218584,6.670246,-0.405689,-0.139493,0.206775
0.020,47440,5.305551,4.467580,6.239290,-0.296706,0.011191,-0.037971
0.040,47460,5.750873,4.400543,5.861006,-0.272058,0.013590,-0.231956
0.060,47480,6.220136,4.103662,5.430049,-0.182527,-0.124305,-0.333611
0.080,47500,6.550536,4.510676,5.712565,-0.113113,-0.208107,-0.298172
0.100,47520,6.856994,4.501099,6.272809,-0.283116,0.064484,-0.180262
0.120,47540,6.837840,4.735731,5.951985,-0.148020,-0.233954,-0.047297
0.140,47560,7.354988,5.099649,6.215348,-0.183726,-0.430337,-0.025047
0.160,47580,7.790732,5.027823,6.306327,-0.350665,-0.178530,-0.074743
0.180,47600,7.972692,4.831499,6.234501,-0.338807,-0.269527,0.014789
0.200,47620,7.867347,4.812346,6.253655,-0.286980,-0.330813,0.158412
0.220,47640,7.694964,4.869806,6.368577,-0.267129,-0.238750,0.247677
0.240,47660,7.331046,4.884171,6.545747,-0.245145,-0.068214,0.217966
0.260,47680,7.388506,5.023035,6.521805,-0.243946,-0.049695,0.167871
0.280,47700,9.016563,5.731719,7.900866,-0.271259,-0.235286,0.093928
0.300,47720,8.681376,5.262455,7.967903,-0.304966,-0.087933,-0.089798
0.320,47740,8.968679,5.099649,7.613562,-0.328415,-0.246211,-0.133098
0.340,47760,8.116343,4.994305,7.551312,-0.297505,-0.212237,-0.215035
0.360,47780,7.479486,4.462792,7.201759,-0.343737,-0.142158,-0.251674
0.380,47800,6.981492,3.979163,7.077260,-0.384772,-0.081138,-0.203577
0.400,47820,6.823475,3.639187,7.024588,-0.394231,-0.130034,-0.087400
0.420,47840,6.995857,3.538630,6.809110,-0.402625,-0.125904,0.044366
0.440,47860,6.177041,3.936068,6.675035,-0.380508,-0.101522,0.085002
0.460,47880,5.755661,4.539406,7.024588,-0.243680,-0.117510,-0.024648
0.480,47900,6.373365,4.505888,7.268796,-0.101256,-0.125104,-0.224628
0.500,47920,6.636727,4.146757,7.273585,-0.043433,-0.024381,-0.385971
0.520,47940,6.718130,3.921702,7.129933,-0.077274,0.023582,-0.467109
0.540,47960,6.794744,3.792415,7.005434,-0.122573,-0.002931,-0.486427
0.560,47980,6.607996,3.907337,6.909666,-0.177331,-0.051694,-0.464977
0.580,48000,6.382942,4.098873,6.813898,-0.251940,-0.069280,-0.430603
0.600,48020,6.296751,4.290410,6.617573,-0.275256,-0.065283,-0.362922
0.620,48040,6.335058,4.290410,6.531382,-0.242881,-0.098325,-0.265930
0.640,48060,6.483498,4.170700,6.426037,-0.189188,-0.109250,-0.154948
0.660,48080,6.339846,3.988740,6.277597,-0.134430,-0.106985,-0.047031
0.680,48100,6.172252,3.830723,6.205771,-0.081271,-0.168404,0.024914
0.700,48120,5.913678,3.849876,6.483498,-0.049828,-0.226493,0.078606
0.720,48140,5.578490,4.156334,6.976704,-0.047564,-0.185991,0.100057
0.740,48160,5.923255,4.127604,7.158663,-0.044766,-0.085668,0.097925
0.760,48180,6.244078,4.204218,7.086837,-0.044233,-0.016254,0.137761
0.780,48200,6.833052,4.434062,7.173028,-0.020384,-0.034507,0.198781
0.800,48220,7.364564,4.563348,7.230489,0.034773,-0.059155,0.248609
0.820,48240,7.589619,4.663905,7.321469,0.102322,-0.088466,0.264064
0.840,48260,7.580042,4.539406,7.311892,0.140692,-0.102588,0.245412
0.860,48280,7.680599,4.357447,7.034164,0.124438,-0.113779,0.252606
0.880,48300,7.690176,4.252102,6.995857,0.099124,-0.146954,0.303634
0.900,48320,8.489840,5.090073,7.943961,0.051827,-0.179995,0.346934
0.920,48340,7.910442,4.812346,7.302315,0.061953,0.151351,0.312560
0.940,48360,8.777143,5.066131,6.847417,0.058622,0.174400,0.377977
0.960,48380,8.269572,4.769250,6.258443,0.138694,0.270193,0.343603
0.980,48400,8.063671,4.774038,5.980716,0.141225,0.141092,0.299637
1.000,48420,7.905654,4.563348,5.774815,0.175998,0.000799,0.192919
1.020,48440,7.589619,4.630386,5.961562,0.114712,-0.053159,0.058355
1.040,48460,7.101202,4.683059,6.057330,0.015988,0.091530,-0.089665
1.060,48480,6.813898,4.908113,5.980716,-0.015455,0.194784,-0.129900
1.080,48500,6.995857,5.276821,6.311116,0.016121,0.209972,-0.143757
1.100,48520,7.149086,5.228937,6.368577,0.011458,0.312294,-0.199314
1.120,48540,7.225701,4.850653,6.062119,0.008527,0.395031,-0.209440
1.140,48560,7.331046,4.539406,5.779603,0.067948,0.350398,-0.133897
1.160,48580,7.182605,4.362236,5.693412,0.103254,0.262732,-0.060620
1.180,48600,7.115568,4.204218,5.726931,0.115778,0.149485,-0.020518
1.200,48620,6.670246,3.945644,5.765238,0.095793,0.099124,-0.047830
1.220,48640,6.339846,3.663129,5.525817,0.059021,0.059021,-0.075409
1.240,48660,6.382942,3.725378,5.568913,-0.003730,0.046231,-0.071012
1.260,48680,6.181829,3.969586,5.530606,-0.071812,0.111115,-0.123905
1.280,48700,6.181829,4.438850,5.664681,-0.146021,0.185991,-0.232355
1.300,48720,6.421249,4.625597,5.817910,-0.121640,0.165873,-0.368518
1.320,48740,6.593631,4.510676,5.702989,-0.103121,0.128035,-0.425141
1.340,48760,7.235278,4.821922,5.942409,-0.125504,0.038504,-0.388502
1.360,48780,7.800309,4.960786,6.157887,-0.149752,-0.007061,-0.336142
1.380,48800,7.948750,5.013458,6.148310,-0.207574,0.000133,-0.254605
1.400,48820,7.891289,4.946421,6.076484,-0.239816,-0.067815,-0.170802
1.420,48840,7.603985,4.726154,6.057330,-0.247277,-0.192919,-0.088066
1.440,48860,7.220912,4.553771,5.951985,-0.288979,-0.247544,0.011591
1.460,48880,7.240066,4.520253,5.813122,-0.328149,-0.226093,0.099923
1.480,48900,7.134721,4.855441,5.980716,-0.272858,-0.294841,0.147487
1.500,48920,7.182605,4.903325,6.244078,-0.238351,-0.309096,0.116044
1.520,48940,8.111555,5.683835,7.532158,-0.214502,-0.357060,0.081404
1.540,48960,8.236053,5.837064,7.833828,-0.146288,-0.187190,-0.050761
1.560,48980,9.265560,5.999869,8.020576,-0.160011,-0.120708,-0.119908
1.580,49000,9.385271,5.760449,7.800309,-0.154948,-0.055957,-0.168138
1.600,49020,8.485051,5.204995,7.398083,-0.194651,-0.101655,-0.157613
1.620,49040,7.297527,4.817134,7.144298,-0.242881,-0.147221,-0.087533
1.640,49060,6.761226,4.414908,6.804321,-0.307498,-0.144956,0.001732
1.660,49080,6.995857,3.926491,6.344635,-0.335876,-0.227426,0.096593
1.680,49100,6.512228,3.988740,6.291962,-0.311894,-0.293908,0.171735
1.700,49120,5.870583,4.438850,6.488286,-0.255538,-0.233954,0.109383
1.720,49140,6.253655,4.764462,6.900089,-0.148819,-0.240882,-0.061686
1.740,49160,6.545747,4.649539,7.058106,-0.099790,-0.103521,-0.247810
1.760,49180,6.742072,4.328717,6.746861,-0.111115,0.010392,-0.350665
1.780,49200,6.962338,4.132392,6.598420,-0.149885,-0.020518,-0.374247
1.800,49220,6.694188,4.185065,6.483498,-0.224361,-0.031576,-0.363988
1.820,49240,6.531382,4.165911,6.387730,-0.263665,-0.093395,-0.306432
1.840,49260,6.564901,4.209007,6.258443,-0.279652,-0.123772,-0.200779
1.860,49280,6.742072,4.151546,6.014235,-0.266196,-0.150152,-0.091930
1.880,49300,6.847417,3.940856,5.956774,-0.233021,-0.211704,0.004930
1.900,49320,6.689400,3.720589,6.023811,-0.192253,-0.228358,0.089931
1.920,49340,6.660669,3.514688,5.870583,-0.171735,-0.219032,0.170536
1.940,49360,6.617573,3.600879,5.951985,-0.166939,-0.289911,0.237685
1.960,49380,6.421249,3.734955,6.244078,-0.147221,-0.320021,0.268461
1.980,49400,6.727707,3.830723,6.521805,-0.127103,-0.265796,0.292309
2.000,49420,7.489063,3.859453,6.569689,-0.085268,-0.183459,0.341738
2.020,49440,7.685388,3.988740,6.555324,-0.043833,-0.181061,0.399827
2.040,49460,7.661446,4.213795,6.684611,-0.002265,-0.212904,0.432069
2.060,49480,7.790732,4.175488,7.024588,0.026513,-0.223029,0.449789
2.080,49500,7.939173,4.017470,6.952762,0.040502,-0.146954,0.486427
2.100,49520,8.006210,3.964798,6.794744,0.089132,-0.114446,0.574360
2.120,49540,7.584831,4.137180,6.713342,0.133098,-0.107651,0.626720
2.140,49560,8.044518,4.683059,7.417237,0.197049,-0.143623,0.645239
2.160,49580,9.217676,4.285621,7.508216,0.237818,-0.013456,0.529727
2.180,49600,9.337387,4.175488,6.708553,0.249276,0.127502,0.537188
2.200,49620,9.773131,4.132392,6.675035,0.238351,0.081404,0.529994
2.220,49640,9.160215,4.505888,6.397307,0.237418,0.150285,0.418746
2.240,49660,9.064447,4.410120,5.894525,0.236352,0.077141,0.271126
2.260,49680,8.829816,4.161122,5.391742,0.224628,-0.003597,0.109783
2.280,49700,8.623915,4.012682,5.219360,0.182394,-0.160677,-0.023982
2.300,49720,7.752425,3.993528,5.185841,0.107118,-0.148686,-0.125770
2.320,49740,6.746861,3.936068,5.363012,0.051427,-0.012657,-0.148819
2.340,49760,6.928820,4.252102,5.947197,0.021450,0.127769,-0.126303
2.360,49780,7.441179,4.639963,5.995081,0.027046,0.356127,-0.147087
2.380,49800,7.757214,4.582502,5.497087,0.007061,0.496420,-0.131899
2.400,49820,7.503428,4.371812,5.415684,0.005862,0.518003,-0.096726
2.420,49840,7.599196,4.213795,5.477933,0.016920,0.425141,-0.041435
2.440,49860,7.790732,3.739743,5.425261,0.008260,0.325217,0.020518
2.460,49880,7.618350,3.399766,5.487510,-0.019985,0.204243,0.076741
2.480,49900,7.436390,3.174711,5.477933,-0.095660,0.090464,0.121773
2.500,49920,7.053318,3.055001,5.267244,-0.190387,0.031309,0.129900
2.520,49940,7.034164,3.165135,5.233725,-0.237685,-0.058489,0.113380
2.540,49960,6.928820,3.385401,5.252879,-0.297239,-0.130433,0.066349
